time,loading
0,4.77
0.01,7.105583042
0.02,13.88370903
0.03,24.44088776
0.04,37.74370903
0.05,52.49
0.06,67.23629097
0.07,80.53911224
0.08,91.09629097
0.09,97.87441696
0.1,100.21
0.11,97.87441696
0.12,91.09629097
0.13,80.53911224
0.14,67.23629097
0.15,52.49
0.16,37.74370903
0.17,24.44088776
0.18,13.88370903
0.19,7.105583042
0.2,4.77
0.21,7.105583042
0.22,13.88370903
0.23,24.44088776
0.24,37.74370903
0.25,52.49
0.26,67.23629097
0.27,80.53911224
0.28,91.09629097
0.29,97.87441696
0.3,100.21
0.31,97.87441696
0.32,91.09629097
0.33,80.53911224
0.34,67.23629097
0.35,52.49
0.36,37.74370903
0.37,24.44088776
0.38,13.88370903
0.39,7.105583042
0.4,4.77
0.41,7.105583042
0.42,13.88370903
0.43,24.44088776
0.44,37.74370903
0.45,52.49
0.46,67.23629097
0.47,80.53911224
0.48,91.09629097
0.49,97.87441696
0.5,100.21
0.51,97.87441696
0.52,91.09629097
0.53,80.53911224
0.54,67.23629097
0.55,52.49
0.56,37.74370903
0.57,24.44088776
0.58,13.88370903
0.59,7.105583042
0.6,4.77
0.61,7.105583042
0.62,13.88370903
0.63,24.44088776
0.64,37.74370903
0.65,52.49
0.66,67.23629097
0.67,80.53911224
0.68,91.09629097
0.69,97.87441696
0.7,100.21
0.71,97.87441696
0.72,91.09629097
0.73,80.53911224
0.74,67.23629097
0.75,52.49
0.76,37.74370903
0.77,24.44088776
0.78,13.88370903
0.79,7.105583042
0.8,4.77
0.81,7.105583042
0.82,13.88370903
0.83,24.44088776
0.84,37.74370903
0.85,52.49
0.86,67.23629097
0.87,80.53911224
0.88,91.09629097
0.89,97.87441696
0.9,100.21
0.91,97.87441696
0.92,91.09629097
0.93,80.53911224
0.94,67.23629097
0.95,52.49
0.96,37.74370903
0.97,24.44088776
0.98,13.88370903
0.99,7.105583042
1,4.77